"medcode","readcode","Description","CodingSystem","source"
50292,"Byu2500","[X]Malignant neoplasm of mediastinum, part unspecified","readcode","CAN023"
50296,"B000100","Malignant neoplasm of upper lip, lipstick area","readcode","CAN023"
50297,"B411.00","Malignant neoplasm of exocervix","readcode","CAN023"
50298,"B300500","Malignant neoplasm of orbital bone","readcode","CAN023"
50299,"B300900","Malignant neoplasm of zygomatic bone","readcode","CAN023"
50402,"B307100","Malignant neoplasm of fibula","readcode","CAN023"
50475,"B02z.00","Malignant neoplasm of major salivary gland NOS","readcode","CAN023"
50505,"B326000","Malignant melanoma of shoulder","readcode","CAN023"
50579,"B214.00","Malignant neoplasm, overlapping lesion of larynx","readcode","CAN023"
50668,"B627300","Diffuse non-Hodgkin's small cell (diffuse) lymphoma","readcode","CAN023"
50681,"B480.00","Malignant neoplasm of prepuce (foreskin)","readcode","CAN023"
50695,"B627500","Diffuse non-Hodgkin mixed sml & lge cell (diffuse) lymphoma","readcode","CAN023"
50696,"B62y100","Malignant lymphoma NOS of lymph nodes of head, face and neck","readcode","CAN023"
50777,"B524600","Malignant neoplasm,overlap lesion periph nerve & auton ns","readcode","CAN023"
50789,"B103.00","Malignant neoplasm of upper third of oesophagus","readcode","CAN023"
50858,"B674.00","Acute panmyelosis","readcode","CAN023"
50898,"B18y300","Malignant neoplasm of omentum","readcode","CAN023"
50904,"B563200","Secondary and unspec malig neop infraclavicular lymph nodes","readcode","CAN023"
50974,"B14z.00","Malignant neoplasm rectum,rectosigmoid junction and anus NOS","readcode","CAN023"
51115,"B522.00","Malignant neoplasm of spinal cord","readcode","CAN023"
51209,"B325800","Malignant melanoma of chest wall","readcode","CAN023"
51237,"B303z00","Malignant neoplasm of rib, sternum and clavicle NOS","readcode","CAN023"
51255,"B1zz.00","Malignant neoplasm of digestive tract and peritoneum NOS","readcode","CAN023"
51352,"B592.00","Malignant neoplasms of independent (primary) multiple sites","readcode","CAN023"
51551,"B571.00","Secondary malignant neoplasm of mediastinum","readcode","CAN023"
51690,"B117.00","Malignant neoplasm, overlapping lesion of stomach","readcode","CAN023"
51786,"B021.00","Malignant neoplasm of submandibular gland","readcode","CAN023"
51795,"B545000","Malignant neoplasm of glomus jugulare","readcode","CAN023"
51818,"B550300","Malignant neoplasm of jaw NOS","readcode","CAN023"
51873,"B327100","Malignant melanoma of thigh","readcode","CAN023"
51921,"B306200","Malignant neoplasm of pubis","readcode","CAN023"
51926,"B062000","Malignant neoplasm of faucial pillar","readcode","CAN023"
51965,"B315.00","Malignant neoplasm of connective and soft tissue of pelvis","readcode","CAN023"
52029,"ByuC800","[X]Malignant neoplasm without specification of site","readcode","CAN023"
52190,"B561900","Secondary and unspec malig neop pulmonary lymph nodes","readcode","CAN023"
52316,"B553.00","Malignant neoplasm of pelvis","readcode","CAN023"
52327,"B653000","Chloroma","readcode","CAN023"
52511,"B515.00","Malignant neoplasm of cerebral ventricles","readcode","CAN023"
52537,"B161100","Malignant neoplasm of hepatic duct","readcode","CAN023"
52570,"B487.00","Malignant neoplasm, overlapping lesion of penis","readcode","CAN023"
52594,"B4z..00","Malignant neoplasm of genitourinary organ NOS","readcode","CAN023"
52736,"B562.00","Secondary and unspec malig neop intra-abdominal lymph nodes","readcode","CAN023"
53103,"B410100","Malignant neoplasm of endocervical gland","readcode","CAN023"
53369,"B327900","Malignant melanoma of great toe","readcode","CAN023"
53397,"B61z.00","Hodgkin's disease NOS","readcode","CAN023"
53504,"B52W.00","Malig neopl, overlap lesion brain & other part of CNS","readcode","CAN023"
53528,"B581200","Secondary malignant neoplasm of urethra","readcode","CAN023"
53551,"B627600","Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma","readcode","CAN023"
53591,"B10y.00","Malignant neoplasm of other specified part of oesophagus","readcode","CAN023"
53594,"B300000","Malignant neoplasm of ethmoid bone","readcode","CAN023"
53599,"B300100","Malignant neoplasm of frontal bone","readcode","CAN023"
53629,"B325200","Malignant melanoma of buttock","readcode","CAN023"
53884,"B060z00","Malignant neoplasm tonsil NOS","readcode","CAN023"
53910,"B453.00","Malignant neoplasm of clitoris","readcode","CAN023"
53989,"B311.00","Malig neop connective and soft tissue upper limb/shoulder","readcode","CAN023"
54083,"B625800","Letterer-Siwe disease of lymph nodes of multiple sites","readcode","CAN023"
54103,"B16..00","Malignant neoplasm gallbladder and extrahepatic bile ducts","readcode","CAN023"
54120,"B584.00","Secondary malignant neoplasm of other part of nervous system","readcode","CAN023"
54133,"B510z00","Malignant neoplasm of cerebrum NOS","readcode","CAN023"
54134,"B223z00","Malignant neoplasm of middle lobe, bronchus or lung NOS","readcode","CAN023"
54171,"B104.00","Malignant neoplasm of middle third of oesophagus","readcode","CAN023"
54184,"B4A1z00","Malignant neoplasm of renal pelvis NOS","readcode","CAN023"
54186,"B313100","Malignant neoplasm of diaphragm","readcode","CAN023"
54202,"B35z.00","Malignant neoplasm of other site of male breast","readcode","CAN023"
54222,"B312400","Malignant neoplasm of connective and soft tissue of foot","readcode","CAN023"
54253,"ByuC700","[X]Secondary malignant neoplasm of other specified sites","readcode","CAN023"
54267,"B59z.00","Malignant neoplasm of unspecified site NOS","readcode","CAN023"
54278,"B564000","Secondary and unspec malig neop superficial inguinal LN","readcode","CAN023"
54305,"B327200","Malignant melanoma of knee","readcode","CAN023"
54493,"B303500","Malignant neoplasm of xiphoid process","readcode","CAN023"
54494,"B350.00","Malignant neoplasm of nipple and areola of male breast","readcode","CAN023"
54613,"B201200","Malignant neoplasm of tympanic antrum","readcode","CAN023"
54631,"B306.00","Malignant neoplasm of pelvic bones, sacrum and coccyx","readcode","CAN023"
54632,"B321.00","Malignant melanoma of eyelid including canthus","readcode","CAN023"
54636,"B203.00","Malignant neoplasm of ethmoid sinus","readcode","CAN023"
54679,"B594.00","Secondary malignant neoplasm of unknown site","readcode","CAN023"
54685,"B326100","Malignant melanoma of upper arm","readcode","CAN023"
54691,"B302200","Malignant neoplasm of lumbar vertebra","readcode","CAN023"
54747,"B300600","Malignant neoplasm of parietal bone","readcode","CAN023"
54793,"B682.00","Subacute leukaemia NOS","readcode","CAN023"
54956,"B50z.00","Malignant neoplasm of eye NOS","readcode","CAN023"
54965,"B312200","Malig neop connective and soft tissue of popliteal space","readcode","CAN023"
55015,"B05z.00","Malignant neoplasm of mouth NOS","readcode","CAN023"
55019,"B11y.00","Malignant neoplasm of other specified site of stomach","readcode","CAN023"
55066,"B062.00","Malignant neoplasm of tonsillar pillar","readcode","CAN023"
55090,"B58y100","Secondary malignant neoplasm of uterus","readcode","CAN023"
55096,"B582z00","Secondary malignant neoplasm of skin NOS","readcode","CAN023"
55098,"B550000","Malignant neoplasm of head NOS","readcode","CAN023"
55101,"B553z00","Malignant neoplasm of pelvis NOS","readcode","CAN023"
55246,"B20z.00","Malignant neoplasm of accessory sinus NOS","readcode","CAN023"
55292,"B326z00","Malignant melanoma of upper limb or shoulder NOS","readcode","CAN023"
55303,"B614100","Hodgkin's nodular sclerosis of head, face and neck","readcode","CAN023"
55374,"B215.00","Malignant neoplasm of epiglottis NOS","readcode","CAN023"
55434,"B116.00","Malignant neoplasm of greater curve of stomach unspecified","readcode","CAN023"
55463,"B561400","Secondary and unspec malig neop post mediastinal lymph nodes","readcode","CAN023"
55588,"Byu7300","[X]Malignant neoplasm of female genital organ, unspecified","readcode","CAN023"
55595,"B300700","Malignant neoplasm of sphenoid bone","readcode","CAN023"
55630,"B07y.00","Malignant neoplasm of other specified site of nasopharynx","readcode","CAN023"
55659,"B14y.00","Malig neop other site rectum, rectosigmoid junction and anus","readcode","CAN023"
55881,"B324000","Malignant melanoma of scalp","readcode","CAN023"
55946,"B574000","Secondary malignant neoplasm of duodenum","readcode","CAN023"
55953,"B300400","Malignant neoplasm of occipital bone","readcode","CAN023"
56345,"B57y.00","Secondary malignant neoplasm of other digestive organ","readcode","CAN023"
56355,"B066.00","Malignant neoplasm of lateral wall of oropharynx","readcode","CAN023"
56490,"B52z.00","Malignant neoplasm of nervous system NOS","readcode","CAN023"
56513,"B307000","Malignant neoplasm of femur","readcode","CAN023"
56709,"B04y.00","Malignant neoplasm of other sites of floor of mouth","readcode","CAN023"
56715,"B34y.00","Malignant neoplasm of other site of female breast","readcode","CAN023"
56718,"B500z00","Malignant neoplasm of eyeball NOS","readcode","CAN023"
56918,"B1zy.00","Malignant neoplasm other spec digestive tract and peritoneum","readcode","CAN023"
56925,"Byu4000","[X]Malignant melanoma of other+unspecified parts of face","readcode","CAN023"
57047,"B544.00","Malignant neoplasm of carotid body","readcode","CAN023"
57191,"Byu8000","[X]Malignant neoplasm/other specified male genital organs","readcode","CAN023"
57225,"B614000","Hodgkin's disease, nodular sclerosis of unspecified site","readcode","CAN023"
57235,"B410000","Malignant neoplasm of endocervical canal","readcode","CAN023"
57248,"B082.00","Malignant neoplasm aryepiglottic fold, hypopharyngeal aspect","readcode","CAN023"
57260,"B322.00","Malignant melanoma of ear and external auricular canal","readcode","CAN023"
57427,"B62y000","Malignant lymphoma NOS of unspecified site","readcode","CAN023"
57471,"B316.00","Malig neop of connective and soft tissue trunk unspecified","readcode","CAN023"
57481,"ByuC300","[X]Secondary malignant neoplasm/oth+unspc respiratory organs","readcode","CAN023"
57482,"B311200","Malignant neoplasm of connective and soft tissue of fore-arm","readcode","CAN023"
57671,"B672.00","Megakaryocytic leukaemia","readcode","CAN023"
57719,"B41y100","Malignant neoplasm of squamocolumnar junction of cervix","readcode","CAN023"
57737,"B62x100","Lymphoepithelioid lymphoma","readcode","CAN023"
57756,"Byu7100","[X]Malignant neoplasm/other specified female genital organs","readcode","CAN023"
57854,"B553000","Malignant neoplasm of inguinal region NOS","readcode","CAN023"
57988,"B305000","Malignant neoplasm of carpal bone - scaphoid","readcode","CAN023"
58061,"B452.00","Malignant neoplasm of labia minora","readcode","CAN023"
58082,"B620800","Nodular lymphoma of lymph nodes of multiple sites","readcode","CAN023"
58088,"B151400","Malignant neoplasm of intrahepatic gall duct","readcode","CAN023"
58094,"B412.00","Malignant neoplasm, overlapping lesion of cervix uteri","readcode","CAN023"
58121,"B014.00","Malignant neoplasm of anterior 2/3 of tongue unspecified","readcode","CAN023"
58684,"B615200","Hodgkin's mixed cellularity of intrathoracic lymph nodes","readcode","CAN023"
58692,"B561500","Secondary and unspec malig neop paratracheal lymph nodes","readcode","CAN023"
58836,"B315z00","Malig neop of connective and soft tissue of pelvis NOS","readcode","CAN023"
58871,"B623z00","Malignant histiocytosis NOS","readcode","CAN023"
58903,"B550z00","Malignant neoplasm of head, neck and face NOS","readcode","CAN023"
58949,"B308D00","Malignant neoplasm of phalanges of foot","readcode","CAN023"
58958,"B323500","Malignant melanoma of temple","readcode","CAN023"
58962,"B62x500","Malignant immunoproliferative small intestinal disease","readcode","CAN023"
58973,"Byu0.00","[X]Malignant neoplasm of lip, oral cavity and pharynx","readcode","CAN023"
59004,"B072.00","Malignant neoplasm of lateral wall of nasopharynx","readcode","CAN023"
59036,"B300.00","Malignant neoplasm of bones of skull and face","readcode","CAN023"
59041,"B500000","Malignant neoplasm of ciliary body","readcode","CAN023"
59061,"B322000","Malignant melanoma of auricle (ear)","readcode","CAN023"
59092,"B111z00","Malignant neoplasm of pylorus of stomach NOS","readcode","CAN023"
59097,"B431000","Malignant neoplasm of lower uterine segment","readcode","CAN023"
59115,"B602100","Burkitt's lymphoma of lymph nodes of head, face and neck","readcode","CAN023"
59152,"B315200","Malignant neoplasm of connective and soft tissue of perineum","readcode","CAN023"
59170,"B51y000","Malignant neoplasm of corpus callosum","readcode","CAN023"
59223,"B306100","Malignant neoplasm of ischium","readcode","CAN023"
59286,"B4Ay000","Malignant neoplasm of overlapping lesion of urinary organs","readcode","CAN023"
59362,"B451z00","Malignant neoplasm of labia majora NOS","readcode","CAN023"
59375,"B583z00","Secondary malignant neoplasm of brain or spinal cord NOS","readcode","CAN023"
59381,"B500100","Malignant neoplasm of iris","readcode","CAN023"
59382,"B310000","Malignant neoplasm of soft tissue of head","readcode","CAN023"
59388,"B18y100","Malignant neoplasm of mesocaecum","readcode","CAN023"
59520,"B300200","Malignant neoplasm of malar bone","readcode","CAN023"
59718,"B542z00","Malig neop pituitary gland or craniopharyngeal duct NOS","readcode","CAN023"
59755,"B61z200","Hodgkin's disease NOS of intrathoracic lymph nodes","readcode","CAN023"
59778,"B61z100","Hodgkin's disease NOS of lymph nodes of head, face and neck","readcode","CAN023"
59823,"B542.00","Malignant neoplasm pituitary gland and craniopharyngeal duct","readcode","CAN023"
59831,"B340z00","Malignant neoplasm of nipple or areola of female breast NOS","readcode","CAN023"
60035,"B310300","Malignant neoplasm of cartilage of ear","readcode","CAN023"
60052,"B55yz00","Malignant neoplasm of specified site NOS","readcode","CAN023"
60053,"Byu..00","[X]Additional neoplasm classification terms","readcode","CAN023"
60092,"B62y700","Malignant lymphoma NOS of spleen","readcode","CAN023"
60134,"B581000","Secondary malignant neoplasm of ureter","readcode","CAN023"
60162,"Byu5A00","[X]Malignant neoplasm overlapping lesion of skin","readcode","CAN023"
60242,"B600000","Reticulosarcoma of unspecified site","readcode","CAN023"
60247,"B314z00","Malig neop of connective and soft tissue of abdomen NOS","readcode","CAN023"
60312,"B16y.00","Malignant neoplasm other gallbladder/extrahepatic bile duct","readcode","CAN023"
60335,"B58y400","Secondary malignant neoplasm of vulva","readcode","CAN023"
60403,"B303300","Malignant neoplasm of costal cartilage","readcode","CAN023"
60772,"B450z00","Malignant neoplasm of vagina NOS","readcode","CAN023"
61064,"B24X.00","Malignant neoplasm of mediastinum, part unspecified","readcode","CAN023"
61149,"B614300","Hodgkin's nodular sclerosis of intra-abdominal lymph nodes","readcode","CAN023"
61246,"B327600","Malignant melanoma of heel","readcode","CAN023"
61289,"B564100","Secondary and unspec malig neop deep inguinal lymph nodes","readcode","CAN023"
61390,"B540000","Malignant neoplasm of adrenal cortex","readcode","CAN023"
61399,"B510100","Malignant neoplasm of cerebral cortex","readcode","CAN023"
61500,"B690.00","Acute myelomonocytic leukaemia","readcode","CAN023"
61510,"B062200","Malignant neoplasm of palatoglossal arch","readcode","CAN023"
61555,"B180z00","Malignant neoplasm of retroperitoneum NOS","readcode","CAN023"
61643,"B151z00","Malignant neoplasm of intrahepatic bile ducts NOS","readcode","CAN023"
61662,"B61z000","Hodgkin's disease NOS, unspecified site","readcode","CAN023"
61677,"B562200","Secondary and unspec malig neop inferior mesenteric LN","readcode","CAN023"
61692,"B004.00","Malignant neoplasm of lip unspecified, inner aspect","readcode","CAN023"
61693,"ByuD600","[X]Other myeloid leukaemia","readcode","CAN023"
61695,"B100.00","Malignant neoplasm of cervical oesophagus","readcode","CAN023"
61716,"B524100","Malignant neoplasm of peripheral nerve,upp limb,incl should","readcode","CAN023"
61741,"B304200","Malignant neoplasm of humerus","readcode","CAN023"
62104,"B300800","Malignant neoplasm of temporal bone","readcode","CAN023"
62124,"B561800","Secondary and unspec malig neop bronchopulmonary lymph nodes","readcode","CAN023"
62126,"B510500","Malignant neoplasm of thalamus","readcode","CAN023"
62182,"B200300","Malignant neoplasm of vestibule of nose","readcode","CAN023"
62380,"B601200","Lymphosarcoma of intrathoracic lymph nodes","readcode","CAN023"
62437,"B62x400","Malignant reticulosis","readcode","CAN023"
62475,"B326300","Malignant melanoma of hand","readcode","CAN023"
62556,"B24..00","Malignant neoplasm of thymus, heart and mediastinum","readcode","CAN023"
62584,"B573.00","Secondary malignant neoplasm of other respiratory organs","readcode","CAN023"
62630,"B307z00","Malignant neoplasm of long bones of leg NOS","readcode","CAN023"
62761,"B200200","Malignant neoplasm of septum of nose","readcode","CAN023"
62828,"B581z00","Secondary malignant neoplasm of other urinary organ NOS","readcode","CAN023"
62840,"B013.00","Malignant neoplasm of ventral surface of tongue","readcode","CAN023"
62909,"B575100","Secondary malignant neoplasm of rectum","readcode","CAN023"
63054,"B614z00","Hodgkin's disease, nodular sclerosis NOS","readcode","CAN023"
63104,"B501z00","Malignant neoplasm of orbit NOS","readcode","CAN023"
63105,"B62y500","Malignant lymphoma NOS of lymph node inguinal region and leg","readcode","CAN023"
63224,"B48z.00","Malignant neoplasm of penis and other male genital organ NOS","readcode","CAN023"
63300,"Byu3200","[X]Malignant neoplasm/overlap lesion/bone+articulr cartilage","readcode","CAN023"
63331,"B485.00","Malignant neoplasm of spermatic cord","readcode","CAN023"
63375,"ByuDE00","[X]Unspecified B-cell non-Hodgkin's lymphoma","readcode","CAN023"
63430,"B241000","Malignant neoplasm of endocardium","readcode","CAN023"
63460,"B213000","Malignant neoplasm of arytenoid cartilage","readcode","CAN023"
63470,"B102.00","Malignant neoplasm of abdominal oesophagus","readcode","CAN023"
63475,"B652.00","Subacute myeloid leukaemia","readcode","CAN023"
63568,"B524000","Malignant neoplasm of peripheral nerves of head, face & neck","readcode","CAN023"
63598,"ByuE.00","[X]Malignant neoplasms/independent (primary) multiple sites","readcode","CAN023"
63625,"B616400","Hodgkin's lymphocytic depletion lymph nodes axilla and arm","readcode","CAN023"
63653,"B671.11","Heilmeyer - Schoner disease","readcode","CAN023"
63657,"B503.00","Malignant neoplasm of conjunctiva","readcode","CAN023"
63695,"B524300","Malignant neoplasm of peripheral nerve of thorax","readcode","CAN023"
63723,"B601z00","Lymphosarcoma NOS","readcode","CAN023"
63896,"B582400","Secondary malignant neoplasm of skin of shoulder and arm","readcode","CAN023"
63915,"B564.00","Secondary and unspec malig neop inguinal and lower limb LN","readcode","CAN023"
63925,"ByuA200","[X]Malignant neoplasm of meninges, unspecified","readcode","CAN023"
63979,"B013100","Malignant neoplasm of frenulum linguae","readcode","CAN023"
63988,"B311500","Malignant neoplasm of connective and soft tissue of thumb","readcode","CAN023"
63995,"B123.00","Malignant neoplasm of Meckel's diverticulum","readcode","CAN023"
63997,"B326500","Malignant melanoma of thumb","readcode","CAN023"
64036,"B612.00","Hodgkin's sarcoma","readcode","CAN023"
64106,"B18yz00","Malignant neoplasm of specified parts of peritoneum NOS","readcode","CAN023"
64116,"B561.00","Secondary and unspec malig neop intrathoracic lymph nodes","readcode","CAN023"
64195,"B54z.00","Malig neop of endocrine gland or related structure NOS","readcode","CAN023"
64309,"ByuB100","[X]Malignant neoplasm of endocrine gland, unspecified","readcode","CAN023"
64327,"B327z00","Malignant melanoma of lower limb or hip NOS","readcode","CAN023"
64336,"ByuD300","[X]Other specified types of non-Hodgkin's lymphoma","readcode","CAN023"
64345,"B311100","Malignant neoplasm of connective and soft tissue, upper arm","readcode","CAN023"
64427,"B62z100","Unspec malig neop lymphoid/histiocytic lymph node head/neck","readcode","CAN023"
64462,"B083.00","Malignant neoplasm of posterior pharynx","readcode","CAN023"
64497,"Byu7000","[X]Malignant neoplasm of uterine adnexa, unspecified","readcode","CAN023"
64515,"ByuDC00","[X]Diffuse non-Hodgkin's lymphoma, unspecified","readcode","CAN023"
64516,"B18y400","Malignant neoplasm of parietal peritoneum","readcode","CAN023"
64557,"B517000","Malignant neoplasm of cerebral peduncle","readcode","CAN023"
64567,"B63y.00","Other immunoproliferative neoplasms","readcode","CAN023"
64602,"B470.00","Malignant neoplasm of undescended testis","readcode","CAN023"
64670,"B601300","Lymphosarcoma of intra-abdominal lymph nodes","readcode","CAN023"
64680,"B574.00","Secondary malignant neoplasm of small intestine and duodenum","readcode","CAN023"
64686,"B340100","Malignant neoplasm of areola of female breast","readcode","CAN023"
64810,"B551z00","Malignant neoplasm of thorax NOS","readcode","CAN023"
64817,"B502.00","Malignant neoplasm of lacrimal gland","readcode","CAN023"
64848,"B304400","Malignant neoplasm of ulna","readcode","CAN023"
64897,"ByuE000","[X]Malignant neoplasms/independent(primary)multiple sites","readcode","CAN023"
64918,"B560000","Secondary and unspec malig neop of superficial parotid LN","readcode","CAN023"
64971,"B520000","Malignant neoplasm of olfactory bulb","readcode","CAN023"
65106,"B44z.00","Malignant neoplasm of uterine adnexa NOS","readcode","CAN023"
65122,"B624000","Leukaemic reticuloendotheliosis of unspecified sites","readcode","CAN023"
65123,"B624300","Leukaemic reticuloend of intra-abdominal lymph nodes","readcode","CAN023"
65124,"B151000","Malignant neoplasm of interlobular bile ducts","readcode","CAN023"
65159,"B180100","Malignant neoplasm of perinephric tissue","readcode","CAN023"
65164,"B326.00","Malignant melanoma of upper limb and shoulder","readcode","CAN023"
65165,"ByuD900","[X]Other leukaemia of unspecified cell type","readcode","CAN023"
65180,"B627800","Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)","readcode","CAN023"
65215,"B205.00","Malignant neoplasm of sphenoidal sinus","readcode","CAN023"
65233,"B31y.00","Malig neop connective and soft tissue other specified site","readcode","CAN023"
65241,"B51y200","Malignant neoplasm, overlapping lesion of brain","readcode","CAN023"
65253,"B560300","Secondary and unspec malignant neoplasm occipital lymph node","readcode","CAN023"
65312,"B11y000","Malignant neoplasm of anterior wall of stomach NEC","readcode","CAN023"
65357,"B507100","Malignant neoplasm of nasolacrimal duct","readcode","CAN023"
65372,"B11yz00","Malignant neoplasm of other specified site of stomach NOS","readcode","CAN023"
65434,"B62z.00","Malignant neoplasms of lymphoid and histiocytic tissue NOS","readcode","CAN023"
65458,"B52..00","Malig neop of other and unspecified parts of nervous system","readcode","CAN023"
65460,"B1z1.00","Malignant neoplasm of spleen NEC","readcode","CAN023"
65466,"B592X00","Kaposi's sarcoma of multiple organs","readcode","CAN023"
65483,"B614400","Hodgkin's nodular sclerosis of lymph nodes of axilla and arm","readcode","CAN023"
65489,"B610.00","Hodgkin's paragranuloma","readcode","CAN023"
65490,"B58y411","Secondary cancer of the vulva","readcode","CAN023"
65599,"B520200","Malignant neoplasm of acoustic nerve","readcode","CAN023"
65605,"B241200","Malignant neoplasm of myocardium","readcode","CAN023"
65625,"B324.00","Malignant melanoma of scalp and neck","readcode","CAN023"
65642,"B623300","Malignant histiocytosis of intra-abdominal lymph nodes","readcode","CAN023"
65701,"B620z00","Nodular lymphoma NOS","readcode","CAN023"
65721,"B673.00","Mast cell leukaemia","readcode","CAN023"
65777,"B672.11","Thrombocytic leukaemia","readcode","CAN023"
65793,"B2z0.00","Malig neop of upper respiratory tract, part unspecified","readcode","CAN023"
65880,"B304z00","Malig neop of scapula and long bones of upper arm NOS","readcode","CAN023"
66083,"B57z.00","Secondary malig neop of respiratory or digestive system NOS","readcode","CAN023"
66088,"B312.00","Malig neop of connective and soft tissue of hip and leg","readcode","CAN023"
66089,"B65yz00","Other myeloid leukaemia NOS","readcode","CAN023"
66163,"ByuC200","[X]2ndry+unspcf malignant neoplasm lymph nodes/multi regions","readcode","CAN023"
66166,"B124.00","Malignant neoplasm, overlapping lesion of small intestine","readcode","CAN023"
66270,"B000000","Malignant neoplasm of upper lip, external","readcode","CAN023"
66327,"B620000","Nodular lymphoma of unspecified site","readcode","CAN023"
66384,"B001000","Malignant neoplasm of lower lip, external","readcode","CAN023"
66422,"B074.00","Malignant neoplasm, overlapping lesion of nasopharynx","readcode","CAN023"
66444,"Byu2100","[X]Malignant neoplasm/overlap lesion/heart,mediastinm+pleura","readcode","CAN023"
66488,"B314000","Malig neop of connective and soft tissue of abdominal wall","readcode","CAN023"
66639,"B303200","Malignant neoplasm of clavicle","readcode","CAN023"
66646,"B26..00","Malignant neoplasm, overlap lesion of resp & intrathor orgs","readcode","CAN023"
66750,"B24z.00","Malignant neoplasm of heart, thymus and mediastinum NOS","readcode","CAN023"
66775,"B560100","Secondary and unspec malignant neoplasm mastoid lymph nodes","readcode","CAN023"
66908,"B306400","Malignant neoplasm of coccygeal vertebra","readcode","CAN023"
67029,"ByuD500","[X]Other lymphoid leukaemia","readcode","CAN023"
67034,"Byu5000","[X]Mesothelioma of other sites","readcode","CAN023"
67107,"B230.00","Malignant neoplasm of parietal pleura","readcode","CAN023"
67129,"B560z00","Secondary unspec malig neop lymph nodes head/face/neck NOS","readcode","CAN023"
67211,"B523z00","Malignant neoplasm of spinal meninges NOS","readcode","CAN023"
67217,"B55y100","Malignant neoplasm of trunk NOS","readcode","CAN023"
67236,"B512000","Malignant neoplasm of hippocampus","readcode","CAN023"
67323,"B06y.00","Malignant neoplasm of oropharynx, other specified sites","readcode","CAN023"
67324,"B315100","Malig neop of connective and soft tissue of inguinal region","readcode","CAN023"
67396,"B576.00","Secondary malig neop of retroperitoneum and peritoneum","readcode","CAN023"
67446,"B001.00","Malignant neoplasm of lower lip, vermilion border","readcode","CAN023"
67451,"B30W.00","Malignant neoplasm/overlap lesion/bone+articulr cartilage","readcode","CAN023"
67497,"B106.00","Malignant neoplasm, overlapping lesion of oesophagus","readcode","CAN023"
67504,"B003000","Malignant neoplasm of lower lip, buccal aspect","readcode","CAN023"
67506,"B614200","Hodgkin's nodular sclerosis of intrathoracic lymph nodes","readcode","CAN023"
67518,"ByuD100","[X]Other types of follicular non-Hodgkin's lymphoma","readcode","CAN023"
67700,"B66..12","Monoblastic leukaemia","readcode","CAN023"
67703,"B616.00","Hodgkin's disease, lymphocytic depletion","readcode","CAN023"
67763,"B303400","Malignant neoplasm of costo-vertebral joint","readcode","CAN023"
67797,"B561600","Secondary and unspec malig neop superfic tracheobronchial LN","readcode","CAN023"
67806,"B323z00","Malignant melanoma of face NOS","readcode","CAN023"
67884,"B350100","Malignant neoplasm of areola of male breast","readcode","CAN023"
67949,"B48y.00","Malignant neoplasm of other male genital organ","readcode","CAN023"
68027,"ByuA000","[X]Malignant neoplasm/other and unspecified cranial nerves","readcode","CAN023"
68039,"B612400","Hodgkin's sarcoma of lymph nodes of axilla and upper limb","readcode","CAN023"
68055,"B307.00","Malignant neoplasm of long bones of leg","readcode","CAN023"
68133,"B323300","Malignant melanoma of forehead","readcode","CAN023"
68155,"B430100","Malignant neoplasm of fundus of corpus uteri","readcode","CAN023"
68161,"B48y000","Malignant neoplasm of seminal vesicle","readcode","CAN023"
68236,"B550.00","Malignant neoplasm of head, neck and face","readcode","CAN023"
68330,"B613100","Hodgkin's, lymphocytic-histiocytic pred of head, face, neck","readcode","CAN023"
68332,"ByuC600","[X]2ndry malignant neoplasm/oth+unspec parts/nervous system","readcode","CAN023"
68399,"B004200","Malignant neoplasm of lip unspecified, mucosa","readcode","CAN023"
68410,"B150200","Primary angiosarcoma of liver","readcode","CAN023"
68480,"B350000","Malignant neoplasm of nipple of male breast","readcode","CAN023"
68611,"B560900","Secondary and unspec malig neop deep cervical LN","readcode","CAN023"
68641,"B517z00","Malignant neoplasm of brain stem NOS","readcode","CAN023"
68787,"B55y000","Malignant neoplasm of back NOS","readcode","CAN023"
68824,"B48y200","Malignant neoplasm, overlapping lesion male genital orgs","readcode","CAN023"
69104,"B305100","Malignant neoplasm of carpal bone - lunate","readcode","CAN023"
69132,"B562400","Secondary and unspec malig neop external iliac lymph nodes","readcode","CAN023"
69146,"B300z00","Malignant neoplasm of bones of skull and face NOS","readcode","CAN023"
69392,"B561700","Secondary and unspec malig neop inferior tracheobronchial LN","readcode","CAN023"
69497,"B623000","Malignant histiocytosis of unspecified site","readcode","CAN023"
69671,"B010.11","Malignant neoplasm of posterior third of tongue","readcode","CAN023"
69761,"B00zz00","Malignant neoplasm of lip, vermilion border NOS","readcode","CAN023"
69821,"B18y600","Malignant neoplasm of the pouch of Douglas","readcode","CAN023"
69927,"B308800","Malignant neoplasm of first metatarsal bone","readcode","CAN023"
69951,"B055100","Malignant neoplasm of roof of mouth","readcode","CAN023"
70026,"B574z00","Secondary malig neop of small intestine or duodenum NOS","readcode","CAN023"
70104,"B521z00","Malignant neoplasm of cerebral meninges NOS","readcode","CAN023"
70126,"B520100","Malignant neoplasm of optic nerve","readcode","CAN023"
70374,"B600300","Reticulosarcoma of intra-abdominal lymph nodes","readcode","CAN023"
70463,"B315000","Malignant neoplasm of connective and soft tissue of buttock","readcode","CAN023"
